what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808453459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808454987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808747518
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808756218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808787715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808792286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808795927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808797795
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808842196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286808843621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286809731397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286809746854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810576041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810577675
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810586292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810587199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810599280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810600678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810645902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810649863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810654381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286810655483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811007006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811022863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811082991
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811091228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811188164
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286811188245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811189646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811274779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811277854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811327835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811329894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811428752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811434623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811496255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811497467
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811500868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811504977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811514708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811516612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811516832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811521877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811523553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811524552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811562515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811566178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811602802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811606566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811670166
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1286811670182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811711985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811751233
